[2026-04-18 21:35:37,035] [CALIBRATION] normalize=True val_keep_original_size=False train_size=(512, 512)
[2026-04-18 21:35:37,316] Train from scratch!
[2026-04-18 22:13:20,579] iter=5900/10000 lr=0.000215789 loss=0.400172
[2026-04-18 22:13:37,326] iter=5950/10000 lr=0.000213158 loss=0.384692
[2026-04-18 22:13:55,451] iter=6000/10000 lr=0.000210526 loss=0.160000
[2026-04-18 22:14:07,991] [VAL] iter=6000 aAcc=88.4535 mIoU=63.7532 mDice=75.2437 mFscore=75.2437 mPrecision=75.3865 mRecall=75.1035
[2026-04-18 22:14:21,728] iter=6050/10000 lr=0.000207895 loss=0.346536
[2026-04-18 22:14:42,776] iter=6100/10000 lr=0.000205263 loss=0.311642
[2026-04-18 22:14:58,551] iter=6150/10000 lr=0.000202632 loss=0.778624
[2026-04-18 22:15:17,904] iter=6200/10000 lr=0.0002 loss=0.322928
[2026-04-18 22:15:35,085] iter=6250/10000 lr=0.000197368 loss=0.641200
[2026-04-18 22:15:51,596] iter=6300/10000 lr=0.000194737 loss=0.383239
[2026-04-18 22:16:09,973] iter=6350/10000 lr=0.000192105 loss=0.305830
[2026-04-18 22:16:28,963] iter=6400/10000 lr=0.000189474 loss=0.528915
[2026-04-18 22:16:45,875] iter=6450/10000 lr=0.000186842 loss=0.180479
[2026-04-18 22:17:04,848] iter=6500/10000 lr=0.000184211 loss=0.284502
[2026-04-18 22:17:16,967] [VAL] iter=6500 aAcc=90.7022 mIoU=65.7681 mDice=76.7049 mFscore=76.7049 mPrecision=83.1362 mRecall=72.9559
[2026-04-18 22:17:32,919] iter=6550/10000 lr=0.000181579 loss=0.563839
[2026-04-18 22:17:52,706] iter=6600/10000 lr=0.000178947 loss=0.446215
[2026-04-18 22:18:10,122] iter=6650/10000 lr=0.000176316 loss=0.544465
[2026-04-18 22:18:30,600] iter=6700/10000 lr=0.000173684 loss=0.656328
[2026-04-18 22:18:45,957] iter=6750/10000 lr=0.000171053 loss=0.340524
[2026-04-18 22:19:07,600] iter=6800/10000 lr=0.000168421 loss=0.256364
[2026-04-18 22:19:22,506] iter=6850/10000 lr=0.000165789 loss=0.428486
[2026-04-18 22:19:41,146] iter=6900/10000 lr=0.000163158 loss=0.305920
[2026-04-18 22:19:59,890] iter=6950/10000 lr=0.000160526 loss=0.270319
[2026-04-18 22:20:15,044] iter=7000/10000 lr=0.000157895 loss=0.201561
[2026-04-18 22:20:27,100] [VAL] iter=7000 aAcc=89.6762 mIoU=65.1580 mDice=76.3569 mFscore=76.3569 mPrecision=78.5938 mRecall=74.5892
[2026-04-18 22:20:44,497] iter=7050/10000 lr=0.000155263 loss=0.561315
[2026-04-18 22:21:02,059] iter=7100/10000 lr=0.000152632 loss=0.445026
[2026-04-18 22:21:20,064] iter=7150/10000 lr=0.00015 loss=0.326611
[2026-04-18 22:21:36,290] iter=7200/10000 lr=0.000147368 loss=0.213083
[2026-04-18 22:21:55,641] iter=7250/10000 lr=0.000144737 loss=0.326612
[2026-04-18 22:22:12,408] iter=7300/10000 lr=0.000142105 loss=0.317998
[2026-04-18 22:22:30,051] iter=7350/10000 lr=0.000139474 loss=0.147665
[2026-04-18 22:22:46,085] iter=7400/10000 lr=0.000136842 loss=0.453909
[2026-04-18 22:23:03,405] iter=7450/10000 lr=0.000134211 loss=0.176061
[2026-04-18 22:23:20,281] iter=7500/10000 lr=0.000131579 loss=0.297241
[2026-04-18 22:23:32,641] [VAL] iter=7500 aAcc=90.1660 mIoU=66.5724 mDice=77.6442 mFscore=77.6442 mPrecision=79.7086 mRecall=75.9686
[2026-04-18 22:23:33,658] [BEST] iter=7500 mIoU=66.5724 saved=/root/autodl-tmp/tactile_topo_seg/work_dirs/revise/bevanet_s_tp_revise/ckpt/best_mIoU_iter_7500.pth
[2026-04-18 22:23:49,214] iter=7550/10000 lr=0.000128947 loss=0.631471
[2026-04-18 22:24:06,858] iter=7600/10000 lr=0.000126316 loss=0.238289
[2026-04-18 22:24:24,020] iter=7650/10000 lr=0.000123684 loss=0.571030
[2026-04-18 22:24:40,333] iter=7700/10000 lr=0.000121053 loss=0.453312
[2026-04-18 22:24:58,864] iter=7750/10000 lr=0.000118421 loss=0.500375
[2026-04-18 22:25:19,706] iter=7800/10000 lr=0.000115789 loss=0.215026
[2026-04-18 22:25:41,235] iter=7850/10000 lr=0.000113158 loss=0.233026
[2026-04-18 22:25:59,829] iter=7900/10000 lr=0.000110526 loss=0.210217
[2026-04-18 22:26:19,525] iter=7950/10000 lr=0.000107895 loss=0.388719
[2026-04-18 22:26:36,644] iter=8000/10000 lr=0.000105263 loss=0.290525
[2026-04-18 22:26:48,332] [VAL] iter=8000 aAcc=91.4185 mIoU=67.1331 mDice=77.8836 mFscore=77.8836 mPrecision=86.3895 mRecall=73.3744
[2026-04-18 22:26:49,300] [BEST] iter=8000 mIoU=67.1331 saved=/root/autodl-tmp/tactile_topo_seg/work_dirs/revise/bevanet_s_tp_revise/ckpt/best_mIoU_iter_8000.pth
[2026-04-18 22:27:04,093] iter=8050/10000 lr=0.000102632 loss=0.302672
[2026-04-18 22:27:20,394] iter=8100/10000 lr=0.0001 loss=0.232352
[2026-04-18 22:27:38,953] iter=8150/10000 lr=9.73684e-05 loss=0.252060
[2026-04-18 22:27:55,464] iter=8200/10000 lr=9.47368e-05 loss=0.218062
[2026-04-18 22:28:16,684] iter=8250/10000 lr=9.21053e-05 loss=0.308433
[2026-04-18 22:28:32,632] iter=8300/10000 lr=8.94737e-05 loss=0.258892
[2026-04-18 22:28:49,750] iter=8350/10000 lr=8.68421e-05 loss=0.225666
[2026-04-18 22:29:08,289] iter=8400/10000 lr=8.42105e-05 loss=0.185490
[2026-04-18 22:29:30,652] iter=8450/10000 lr=8.15789e-05 loss=0.300016
[2026-04-18 22:29:46,039] iter=8500/10000 lr=7.89474e-05 loss=0.219890
[2026-04-18 22:29:58,697] [VAL] iter=8500 aAcc=90.0197 mIoU=66.5184 mDice=77.6276 mFscore=77.6276 mPrecision=79.1858 mRecall=76.3035
[2026-04-18 22:30:14,936] iter=8550/10000 lr=7.63158e-05 loss=0.226568
[2026-04-18 22:30:31,639] iter=8600/10000 lr=7.36842e-05 loss=0.179241
[2026-04-18 22:30:50,073] iter=8650/10000 lr=7.10526e-05 loss=0.464893
[2026-04-18 22:31:08,343] iter=8700/10000 lr=6.84211e-05 loss=0.731478
[2026-04-18 22:31:24,021] iter=8750/10000 lr=6.57895e-05 loss=0.291602
[2026-04-18 22:31:42,688] iter=8800/10000 lr=6.31579e-05 loss=0.305016
[2026-04-18 22:31:58,828] iter=8850/10000 lr=6.05263e-05 loss=0.271474
[2026-04-18 22:32:19,059] iter=8900/10000 lr=5.78947e-05 loss=0.283646
[2026-04-18 22:32:40,247] iter=8950/10000 lr=5.52632e-05 loss=0.158821
[2026-04-18 22:32:58,820] iter=9000/10000 lr=5.26316e-05 loss=0.363340
[2026-04-18 22:33:10,966] [VAL] iter=9000 aAcc=90.5645 mIoU=67.1950 mDice=78.1541 mFscore=78.1541 mPrecision=80.9780 mRecall=75.9934
[2026-04-18 22:33:11,941] [BEST] iter=9000 mIoU=67.1950 saved=/root/autodl-tmp/tactile_topo_seg/work_dirs/revise/bevanet_s_tp_revise/ckpt/best_mIoU_iter_9000.pth
[2026-04-18 22:33:25,144] iter=9050/10000 lr=5e-05 loss=0.271080
[2026-04-18 22:33:45,603] iter=9100/10000 lr=4.73684e-05 loss=0.259641
[2026-04-18 22:34:03,013] iter=9150/10000 lr=4.47368e-05 loss=0.404179
